,daily_rainfall_total,highest_30_min_rainfall,highest_60_min_rainfall,highest_120_min_rainfall,mean_temperature,maximum_temperature,minimum_temperature,mean_wind_speed,max_wind_speed,rain_binary
2315,15,14.6,14.8,14.8,28,32.9,25.6,6.6,36.4,1
2316,48.2,24.2,26.6,43.6,27,32.8,23.8,6.8,34.9,1
2317,2.6,1.8,1.8,1.8,27.1,31.8,25.3,7.4,40.7,1
2318,0,0,0,0,28.1,31.9,25,11.7,37.1,0
2319,16.8,13.6,13.6,13.6,27.4,32.4,24.5,5.7,55.4,1
2320,2.4,1,1.2,1.6,27.7,32.4,24.6,7.4,27,1
2321,22.6,10.2,13.4,13.6,27.3,33.7,24.1,7.1,34.2,1
2322,5.2,4.6,5,5.2,27,30.7,24.7,5,32.4,1
2323,42.6,19.6,36.8,38,26.4,32.1,24.6,6.1,40.7,1
2324,14.2,5.6,5.8,5.8,25.3,29.1,23.7,6.8,23.8,1
2325,15.8,14.8,14.8,14.8,26.7,31.3,23.8,5.3,33.5,1
2326,0,0,0,0,27.1,29.4,25.4,7.4,24.8,0
2327,1,1,1,1,27.3,29.7,23.8,8.4,51.5,1
2328,0,0,0,0,27.2,29.6,25.7,11.1,47.5,0
2329,3.4,3,3.2,3.2,27.1,29.7,23.8,11.8,56.5,1
2330,0,0,0,0,28,32,25,11.9,36.7,0
2331,0,0,0,0,28.2,31.9,24.9,8.4,33.1,0
2332,0.2,0.2,0.2,0.2,28.6,33.5,25.8,7.4,29.2,1
2333,0,0,0,0,28.9,33.4,26.1,8.1,32,0
2334,9.4,8.8,9,9.4,28.1,32.4,23.3,8.3,37.8,1
2335,13,4.8,8.4,12.2,26.4,28.1,24.3,7.6,29.9,1
2336,6,6,6,6,27.4,31,24.8,11.4,51.1,1
2337,0,0,0,0,28,31.9,25.7,12.5,43.9,0
2338,0,0,0,0,28,31.3,25.2,11,34.6,0
2339,2.8,2.8,2.8,2.8,28,32,25.7,10.3,39.2,1
2340,21.2,13,14,14.2,25.7,28.3,23.7,11.7,43.6,1
2341,0,0,0,0,27.7,31.6,25.2,14.9,44.6,0
2342,0.8,0.4,0.4,0.4,26.7,30.1,25.2,11.4,42.5,1
2343,10.4,5.4,6.2,6.8,26.6,28.5,24.5,10.1,41.8,1
2344,13,9.2,11,11.2,25.7,27.9,23.1,7.9,49.3,1
2345,0.2,0.2,0.2,0.2,25.8,26.7,25.3,7.9,28.4,1
2346,0.4,0.2,0.4,0.4,27.6,31.1,25.2,11.2,34.2,1
2347,0,0,0,0,28.3,31.9,25.8,12.6,34.6,0
2348,0.4,0.4,0.4,0.4,28.2,31.7,26.2,12.6,37.4,1
2349,0,0,0,0,28.2,32.4,25.7,14,37.4,0
2350,0,0,0,0,28.1,31.9,25.6,13,43.9,0
2351,0,0,0,0,28.2,32.3,25.7,12.6,39.2,0
2352,0,0,0,0,28.4,32.7,26.1,11.2,36.4,0
2353,33.8,22.4,33.8,33.8,28,32.2,24.4,8.6,29.2,1
2354,0,0,0,0,28.5,32.1,26,12.6,35.3,0
2355,0,0,0,0,28.4,32.5,26.3,12.2,36.4,0
2356,1.6,1.4,1.4,1.4,28.3,31.4,26.4,10.1,29.9,1
2357,16.6,7.4,10,10.8,27.2,30.3,24.8,5.8,20.5,1
2358,2,1.4,1.4,2,27.2,32.7,25.2,5.4,31.7,1
2359,20.8,8.2,14.4,19.4,26.7,31.2,23.8,6.5,38.9,1
2360,14,13.8,14,14,27.9,34.4,25,6.1,26.3,1
2361,0,0,0,0,28.2,31.5,26.1,10.8,35.3,0
2362,0.4,0.4,0.4,0.4,28.2,31.5,26,7.9,31.7,1
2363,0.4,0.4,0.4,0.4,27.9,30.3,26.5,10.4,32.8,1
2364,28.2,13.8,19.6,21.8,27.6,31.4,26.1,8.3,33.5,1
2365,6.6,6.2,6.4,6.4,27.8,32.3,25.7,11.5,43.6,1
2366,0,0,0,0,28.4,31.9,26,15.8,51.8,0
2367,5,5,5,5,27.4,31.3,25.3,14,64.4,1
2368,7.4,6.6,6.6,6.6,27.1,29.5,25.1,11.9,40.7,1
2369,0.2,0.2,0.2,0.2,28.2,31.4,25.7,13,40.7,1
2370,5.4,3.2,4.6,5,27.6,32.6,25,9.7,30.2,1
2371,0,0,0,0,27.7,31.5,25,10.1,39.6,0
2372,0,0,0,0,28.4,33,25.9,11.5,33.8,0
2373,7.6,5.8,5.8,6.8,28,31.8,25.9,10.4,38.5,1
2374,0,0,0,0,28.5,32.4,25.7,14,43.2,0
2375,6.6,3.8,4.8,6.4,27.4,30.8,24.3,11.5,40.7,1
2376,0,0,0,0,28.2,32.6,25.6,10.1,36.7,0
2377,4.2,2.2,2.8,4.2,27.4,30.5,26,8.6,27,1
2378,3,2,2,2.8,27.6,31.6,25.7,6.8,25.2,1
2379,2.6,1.2,1.2,1.2,28,31.4,26.1,14.8,44.6,1
2380,33.6,19.4,24.2,27.4,26.4,28.1,24,18,56.2,1
2381,0,0,0,0,26.8,28.3,25.9,16.6,52.2,0
2382,0,0,0,0,26.5,28.5,25.2,9.7,27.7,0
2383,7.6,2.8,5,7.6,26.2,28,24.7,12.2,35.3,1
2384,0,0,0,0,26.9,29.7,24.9,11.2,28.8,0
2385,6.2,6.2,6.2,6.2,27.2,31.7,23.6,10.4,40.3,1
2386,0.2,0.2,0.2,0.2,28.1,31.8,26.1,14,40.3,1
2387,41.2,15.4,24.4,36.4,27.1,32.6,24.8,9.4,42.5,1
2388,0,0,0,0,28.3,32.2,25.6,11.9,34.9,0
2389,0,0,0,0,28,31.4,26.1,16.2,52.2,0
2390,0,0,0,0,27.6,30.9,25.3,14.8,50.4,0
2391,0,0,0,0,27.3,30.8,24.6,10.4,45.7,0
2392,69,15.2,27.8,41.6,24.7,26.7,23.5,7.2,32.8,1
